<Hash=0xB412CAF>	One of us... One of us...
<Hash=0x1A0498A7>	Ah yes! The money for the improvements to the Creepateria, the students will love that huge flat-screen TV. Thank you so much for that. I shall ring through that order for the Pyramid... er... I mean TV, immediately! It should all be sorted by tomorrow...
<Hash=0x1B049A3A>	Ah yes! The money for the improvements to the Creepateria, the students will love that huge flat-screen TV. Thank you so much for that. I'll shall ring through that order for the Sarcophagus... er... I mean TV, immediately! It should all be sorted by tomorrow...
<Hash=0x218C1939>	Ah... there you are! You must be the New Ghoul. I'm Ms. Bloodgood the Headmistress of Monster High. On behalf of the staff and students I'd like to offer you a warm welcome to the Campus. To help your transition into the school, I've assigned you a student buddy to show you around and introduce you to some of her friends. Her name is Spectra Vondergeist and she's a bit of a celebrity 'round these parts. You may know her as the blogger for the Gory Gazette, if that is your thing. Anyway, I've uploaded Spectra's location to your iCoffin MAPP. She's probably looking for her next big story. Who knows? It might even be you! Hope you have a spooktacular first day.
<Hash=0x9D289D3E>	I've never been better, my dear ghoul! Now let me guess, why you've come to see me. Let's see... You have something important to tell me. A curse spreading through the school perhaps?
<Hash=0x9F28A064>	Now, let me speak my dear. Ah, yes! There's an ancient Amulet and an old rival of mine who wants revenge! To take over the school! King Spookenkhamun, I believe! Are you following, my dear ghoul?
<Hash=0xA128A38A>	What?! How could I know all this? Well, that's easy, my dear! Spookenkhamun has cursed me too!!!
<Hash=0x94288F13>	Come and join me ghouls! Soon enough, you'll become... One of us... One of us... One of us... One of us... One of us... One of us... One of us...
<Hash=0x93288D80>	Join us! One of us... One of us... One of us... Join us! One of us... One of us... One of us... Join us! One of us... One of us... One of us... Join us! One of us...  Join us!
<Hash=0x8A21C390>	Don't be frightened my little ghoul. It's soooo much fuuun being One of us... One of us... One of us... One of us... One of us... One of us...
<Hash=0x8B21C523>	Oh, come on now... don't run away! We could have so much fun, you and me. All of us. We could play mummify the student! I'd let you go first... or maybe you'd prefer petting my Cobra... He's not venomous at all... He actually likes to knit... please come back... pleeeeaaaaassssseeeeee...
<Hash=0x2F05AAE4>	ATTENTION STUDENTS!!! I must apologize about the fire alarm. It appears that it was a false alarm triggered accidently by one of the students. Please make your way back into the school. Sorry for the inconvenience... that is all!
<Hash=0xD4E0A899>	Oh my gore, what are you supposed to be?

The comic book club is making their own comic book hero? Oh that's fangtastic! You look great, I'll tell all my beasties.
<Hash=0x855AEBCF>	Come onnnn. Let's finish fast! I've got butterflies in my stomach, I'm so hungry!
<Hash=0xEA217DB4>	<name>, could you check on Deuce? He seems tightly coiled.
<Hash=0x8D5AF867>	Deuce?
<Hash=0x2E671498>	Yes please! Show us!
<Hash=0x7D81D6AB>	We don't put vinegrrr in this!
<Hash=0x2D64D46E>	Mm.... MmmmMMmMMMMmm.
<Hash=0x3264DC4D>	Alright!
<Hash=0x8281DE8A>	I'm making Shockolate Cookies.
<Hash=0x7681CBA6>	!?
<Hash=0x3DF8B884>	What about the vampires?
<Hash=0x580AC320>	I'm getting tired! I thought we'd just be baking cookies.
<Hash=0x576EEBEE>	OK I got the pots on for pasta!
<Hash=0xFB298916>	I had no idea Deuce could move like that.
<Hash=0x2990F5>	Wow Deuce.
<Hash=0x32F7D9F6>	Watch where you're putting that batula!
<Hash=0x281EC019>	Deuce, we're slammed. Can we really take on more work?
<Hash=0xA7668C6F>	It's already finished everything.
<Hash=0x1C5EF5D9>	Yaaaay!
<Hash=0x22087B2E>	I'm not ready for onions! Go get the squid!
<Hash=0x220EB96A>	One of us... One of us...
<Hash=0x7DC27654>	It has been done, oh omnipotent one! I personally delivered the message to each and every cursed student at Monster High. Better still, Cleo said that Spookenkhamun will use all of his powers to attract the cursed to the meeting, drawing them to the Auditorium, like a moth to a flame.
<Hash=0x7256420C>	Bonjour, it's really nice to meet ya! If you ever want to chat about art or fashion, be sure to hit me up. I really look forward to working with ya on the Council...
<Hash=0xFCE70999>	(whispered) One of us... One of us... Toralei is gonna be, One of us... One of us... One of us... She's on the Bus... One of us... In Sphinx we trust... One of us... One of us... One of us... The Amulet bites... One of us... One of us...
<Hash=0x57192418>	We could always let them take a dip in the warm, bubbling waters of the Nile. That should keep them happy. If not, feed 'em to the Sphinx!
<Hash=0xFD6C101B>	Yeah, maybe you're right. I'm probably just a little homesick for Scaris. Wow, that was just a petite crazy... I don't know what I was thinking!
<Hash=0x76738A5B>	Posters, flyers and handbills, stuck up everywhere... It reminds me of the streets of Scaris, advertising art shows, performances and culture. Maybe the Boonighted States isn't so different after all!
<Hash=0x8428DFD0>	Here's a purrfectly radical idea! How about a Student Tax to use the bathroom facilities?
<Hash=0x17013CC5>	Feedback from the students I spoke to was spooktacular. Everyone seems to be really excited!
<Hash=0xB6172212>	Well, we are raising money to improve the Casketball Court. So why not keep to the theme and sell Casketball Cookies?
<Hash=0xEA7C2818>	Money!!! Give the Money! I'll take it! Gimme, gimme! King Spookenkhamun demands I protect this Treasure. So does the Sphinx and the Pharaohs. Relent, or their vengeance will reign down on Monster High!!!
<Hash=0xF07C318A>	You dare ignore my command?! The Sphinx will gobble you up and wreak havoc in these halls!!!
<Hash=0x5872A394>	Could I try a cookie? They look sooo scrumptious I can almost taste them with my eyes!!!
<Hash=0x55729EDB>	Sooorrrrryyyyyy!!!
<Hash=0x533A1AD4>	Well, it seems obvious to me that we need to find out what the cursed are up to. If they are being controlled by Spookenkhamun, there has to be some sorta master plan. Let's find out what it is, so we can jam a wrench in the works...
<Hash=0xC236CAC8>	Stop messing around! This is serious!!! Some of us are totally freaking out here!!!
<Hash=0xBF3904A6>	Sure, but how does that help us? Aren't we better off concentrating on Spookenkhamun's plan? The cursed are talking about a Mass Cursing at the Monster Nationals Fearleading Event, we have to stop that from happening and warn all the un-cursed students at the school!
<Hash=0xBD390180>	Yeah, I've got a plan! RUN!!! I totally hate curses! Let's get outta here while we still can, and get some outside help. It looks like this 'Spook'em' guy is getting more powerful with every student that he curses. How can we go up against a guy like that? It's game over ghoul! GAME OVER!!!
<Hash=0xBE45CF06>	We shoudda run!!! They don't understand, just how dangerous curses are. Spookenkhamun will be the end of us all!!!
<Hash=0x42ACC551>	I'll do it, it'll keep my mind off of all the crazy stuff that's going on!
<Hash=0x42AA86BA>	(whispered) Gotta keep it together Catty! You can do this...
<Hash=0x4760FF64>	We need some kind of diversion. Something to keep the attention of the cursed students busy for a while.
<Hash=0x3B4E7AEE>	I actually think we've nailed it! We can do this!!!
<Hash=0x344E6FE9>	Yeah! Who else would do these crazy missions and come back without a scratch?!
<Hash=0x4050C164>	Sure, Lagoona... I won't let you down!
<Hash=0x3F50BFD1>	Like clockwork... There was no one around, so nobody will have any idea of what we're up to...
<Hash=0x3B50B985>	(whisper) Just keep concentrating on the fearleading, let everyone else fade away. I can do this, I know I can! I'm no scaredy cat!!!
<Hash=0xF533AE0A>	That's gonna be easier said than done!!! That place is like a fortress jam-packed with cursed students... who's gonna draw that short straw?
<Hash=0xC586FF6C>	Chilling cheese fries.
<Hash=0x6453CD7B>	Of course it is! Everyone knows that curses are real...
<Hash=0x6653D0A1>	Funny you should mention that!
<Hash=0x6853D3C7>	Yeah! Ever since she got that creepy amulet for her birthday, stuff seems to be goin' the bizarre route. Ya know, it might be nothing. But every time I've seen her lately, the hackles on the back of my neck stand on end. It's really freaky stuff...
<Hash=0x6A53D6ED>	You don't think this is my fault, do you?
<Hash=0x5C53C0E3>	I know I'm superstitious... But I did break a mirror a little over a week ago. Just around the time that all this weirdness started spreading through the school.
<Hash=0xD45B3990>	If you say so...
<Hash=0xD85B3FDC>	Should we try to tell Headmistress Bloodgood what's going on? Maybe, she can help us?
<Hash=0xDD5B47BB>	OK, let's do it!
<Hash=0xB146186E>	Yeah, totally weird! No one is acting like themselves.
<Hash=0x6F585BFA>	With an ancient Egyptian curse like this, we're gonna need people we can trust!
<Hash=0xB574ACB0>	Sooo... you want to know what I think Monster High needs to improve to make things better for the students? That's easy. The Creepateria needs new seating and a big screen TV so that we can watch while we eat. The vending machines need to be repaired too!
<Hash=0x83C34A38>	You know, being asked what I think needs changing, makes me feel like an important member of the school!
<Hash=0xBF894597>	No, I don't think so.
<Hash=0x139D34E8>	A robot that can be my backup dancer on stage!
<Hash=0xA4385BCA>	Sooooo... it needs some kind of brain?
<Hash=0x97384753>	That's OK! <name>	will find it for us. Won't you <name>?
<Hash=0xDC088753>	Of course she did! She's purrfectly amazing!
<Hash=0xE1088F32>	Clawd, it's just a body. Everything that's going to happen is happening on the inside.
<Hash=0x24AFFE96>	Oh, like Dance Moves? Everyone can do it, but I do it because it makes me happy!
<Hash=0x1311D0F0>	Yay! Now it can learn to dance!
<Hash=0x1A11DBF5>	Huh!? That doesn't make any sense.
<Hash=0x46893CA8>	What's left to go?
<Hash=0xA30A64DB>	Whooooaaa! It just spoke!
<Hash=0x43DBE3D2>	And you can dance!
<Hash=0x41DBE0AC>	Total purrrfection.
<Hash=0xCB9EB680>	Even though it can't dance yet, it's still deadlightful! Watch this... Robot, what is 144 times 13?
<Hash=0x3FD99EEF>	Awww... So scary-sweet.
<Hash=0x8A89DE2F>	Excuse me? I have no idea what you're talking about.
<Hash=0x968C2FAA>	Wait... Iris, I didn't put anything in Manny's locker. You've mistaken me for someone else.
<Hash=0x948C2C84>	Who did the test?
<Hash=0xAC14520>	Way to go, <name>!
<Hash=0x9BE15F0D>	Hey we have a visitor.
<Hash=0x91E14F4F>	I think that'd be pretty hard, Catty.
<Hash=0xCCDC2CB2>	What do you mean?
<Hash=0x6D5401DE>	Hey <name>. Robecca was just telling us about power cells.
<Hash=0x83F0817>	Go ahead, <name>! You've done this before.
<Hash=0x63F04F1>	It is? Doesn't look like anything's happening. You sure those power cells weren't empty?
<Hash=0x606AA295>	Can we talk to it?
<Hash=0xA38C0A4F>	They're right here.
<Hash=0xCD1DB08F>	Yeah because you have all these new limbs to play with.
<Hash=0xD7A5EA41>	Runs without feet? Hm, my iCoffin runs without feet, but it gets tired when the battery runs out, so it can't be an iCoffin.
<Hash=0xCB4C6369>	Hey! It's great to meet a new member of the Team. If you ever want some fashion advice, be sure to hit me up, I'm always up with the latest and greatest. If only we could update the Fearleading outfits... it would be a dream come true. Anyways, have yourself a clawsome first pactice, and be sure not to take anything Cleo says to heart. She can be a little harsh at times...
<Hash=0xF2AE53E3>	A million stories? I had a book that had about 10 stories in it. Not quite a million, but maybe it's a clue.
<Hash=0x81516E69>	Well, that was a howling success! It looks like our newest member of the team, has more than a little talent...
<Hash=0xFAD9C22B>	Cleo's going to be late?! I guess she's just waaay too busy being pampered and showered in presents. Her dad really spoils her, she's his little princess and she really luxor-iates in it! It's classic Cleo!
<Hash=0x3CC96CD>	I gotta say, it is pretty Clawsome!
<Hash=0x6CEDA1D>	Oh boy, the strain must've been too much for her!!!
<Hash=0xF1D9B400>	Oh, come on!!! This is the first break we've taken today!
<Hash=0xDE4B694F>	That's right!!! Maybe all the pressure of trying to win the Monster Nationals is finally getting to her? I know she took it really hard when we came runners-up last year.
<Hash=0xE84B790D>	We were actually waiting for you 'fearless leader', but you were obviously too busy to grace us with your presence. Good to know we've got your support Cap!
<Hash=0x25C5BD53>	I guarantee it!!!
<Hash=0xD8492146>	Are you sure that Pyramid's name wasn't Spectra?
<Hash=0xD6491E20>	Well, you asked for it!!! A couple of us have seen you running around with Spectra, and yet, you don't have time to turn up to practice. When you do, you're late... What've you got to say about that!?
<Hash=0xCF32FEF4>	That's a weird clue! I don't know how to feel about that. Maybe it's like... something you would expect to be in the spot-light, like background props!?
<Hash=0xD446DC63>	You've gotta be kidding me!!! I don't know why we bother!
<Hash=0xD646DF89>	So, what did she say?
<Hash=0x39927A38>	I just can't believe she gets you to tell us to practice, while she runs off, doing who knows what. Well, at least she gave you the clue for the final set of fearleading moves.
<Hash=0x28C5C20C>	So you walked in on Cleo chatting with Spectra before the Council meeting? What happened after that?
<Hash=0x2EC5CB7E>	That's cray-cray even for Cleo! I mean she doesn't even get along with Spectra, especially after that Ghostly Gossip post which said that she and Deuce split up.
<Hash=0x92325FB0>	Has anyone seen Cleo?
<Hash=0x9732678F>	Let's split up, we can cover more area that way...
<Hash=0x252AF854>	Cleo? What's going on? You disappeared when the Fire Alarm went off and we all went looking for you. Is this your idea of a joke? If it is, it's really not funny!
<Hash=0x262D387E>	I'm really getting sick of Cleo's behaviour, maybe I should be head fearleader!
<Hash=0x94B1712A>	That's too much. Even for you, Cleo!
<Hash=0x90B16ADE>	You upset her and she ran off crying!
<Hash=0x4B8DD3F>	Nah, I think you better take it easy Cleo... Hey newbie, can you go after her?
<Hash=0x6B8E065>	Neeeeww Ghhooouuuuulll!!!
<Hash=0xD10188D2>	Great, we'll talk after practice. OK ghouls, times a wasting, we'd better hit that routine and see if we can give it some more polish. We'll get back to this, after we're done...
<Hash=0xD001873F>	Fantastic work ghouls, we're really starting to nail it! It's great seeing the team come together, when things are far from perfect around here.

Well, I guess it would be best for us to get this over and done with... We have to discuss Cleo! Her behaviour, and the incident with Ghoulia. So Ghoul, you went after Ghoulia yesterday. Why don't you get the ball rolling?
<Hash=0xCE018419>	Well that much is obvious. Cleo has been acting weird since her birthday!
<Hash=0xCC0180F3>	That little princess with her trinkets. She refuses to let that thing go! And blowing up at Ghoulia over it! Grr! It really grinds my gears!
<Hash=0xD901956A>	Well, we can't ignore it any longer. Cleo's been waay off base lately! I think we have to confront her for Ghoulia's sake...
<Hash=0xCF3DA0AA>	Draculaura's right! We're all feeling down right now, but the fact you turned up to practice after yesterday's blow-up, shows that you've truly become a part of the Team. We may get knocked down here and there, but it's the fact that we get up and move past it, that makes us better fearleaders.
<Hash=0xD703D0DB>	It's settled then! If Cleo turns up to fearleading practice tomorrow, we'll confront her about the fall out with Ghoulia and her strange behaviour in general...
<Hash=0xDD03DA4D>	The look on Cleo's face will be priceless!
<Hash=0xCC3D9BF1>	I don't think any of us are feeling comfortable with what's been going on around here. I can tell there's stuff you wanna tell us about your talk with Ghoulia, but maybe we should wait until after practice. That way, we won't be rudely interrupted by Queen Cleo, if she decides to grace us with her presence. Waddaya think?
<Hash=0xC63D927F>	Trust me, we don't want Cleo walking in on us while were discussing things. If you think the Ghoulia incident was bad, just imagine what Cleo'd do if she thought we were conspiring against her!
<Hash=0x9633ACA0>	I hate to say it, but there's no reasoning with her. We're gonna have to throw her off the team. She's not even making sense anymore...
<Hash=0x9C33B612>	We have! It's been unanimously decided that you're no longer the captain of Monster High's fearleading team. In fact, until your behavour improves, you're no longer a part of the fearleading team at all. We kindly ask that you leave...
<Hash=0xA033BC5E>	Well, I don't think we could've been any clearer.
<Hash=0xFBA4033F>	Don't worry, she'll be here! I dropped Cleo a SMS saying we had an urgent fearleading situation that needed the team captain's attention. No way she'd ignore that type of message...
<Hash=0x3130CF0A>	So, what should we do?!
<Hash=0x2E30CA51>	Agreed! Ghouls, it's important we stay safe and remain vigilant. We need to keep tabs on any clues to what might be causing all this weirdness. While we suspect that Cleo's Amulet is somehow involved, there has to be more to the story. With any luck, we'll get to the bottom of it and restore some sanity to the school. Is everyone agreed?
<Hash=0x2A30C405>	OK! Let's call it a day then. See you all at fearleading practice tomorrow. Things should be a lot more pleasant now that Cleo's gone!
<Hash=0x2D2E8A27>	With Cleo gone, now we can actually concentrate on fearleading!
<Hash=0xF7A3FCF3>	We need to talk to you about what happened yesterday between you and Ghoulia. It was totally unacceptable, the poor Ghoul was so upset by your behavior that she won't even come back to watch fearleading practice!
<Hash=0xF322B8FF>	Why would we do that? We all love Queen Cleo being the head fearleader of the team...
<Hash=0x16AE6562>	Deuce...
<Hash=0x293D7891>	NO! NO! NO! NO! NO! NO! NO! They can't do that! It's totally cheating... they're my fearleading moves! How dare they?! No one goes behind Queen Cleo's back... Nobody! Someone's gonna pay for this! They're all gonna pay!!! Those sorry excuses for fearleaders will feel my wrath! THE A-NILE-8-TORS WILL BE ANNIHILATED!!! I'm gonna crush all of them!
<Hash=0xC11BA77C>	(whisper)... (whisper)
<Hash=0xB5729B0D>	(whisper)... (whisper)
<Hash=0x2B2B2640>	WHAT DID YOU SAY!?!?!
<Hash=0x2E2B2AF9>	YES!!! The Team should have worked harder, instead of whining and complaining about how tired they were. Remember that, when you think I'm being too hard on you, 'coz I'll never let that happen ever again!
<Hash=0x2D2B2966>	But enough reminiscing, I have a little task for you to get things rolling. A way you can gain the team's respect and prove your commitment. This year's Monster Fearleading Nationals are just around the corner, and as you'd expect having a killer routine is half the battle...
<Hash=0x302B2E1F>	Age-old myths here at Monster High, tell of a legendary fearleading captain named Shiva Nataraja who led her team to Monster Nationals victory, 5 years running. Her secret? Ancient cosmic fearleading steps, that when combined into a routine, are said to be unbeatable! Shiva disappeared decades ago under mysterious circumstances, and with her, the mystical fearleading moves. However, rumours persist that the steps are hidden here at Monster High.
<Hash=0x2F2B2C8C>	Your first official Fearleading task is to find the opening trio of fear-steps - Tappa Tappa, Pop It and Bow & Arrow. The only clue we have to their location is a riddle. I know it's a little cryptic, but I'm sure you'll work it out!
<Hash=0x322B3145>	The riddle is, "What runs, has no feet, and never gets tired?" And the clue is "TWAER". Do you know what the answer is?
<Hash=0x342B346B>	Pity. Try asking the Fearleaders for help. Despite their constant avoidance of hard work, they can be somewhat bright at times.
<Hash=0x4600D93B>	Oh, my ghoul I think you've got it! WATER! I guess this means that the steps are hidden somewhere near water. The pool! That's it! Go get those steps!
<Hash=0x4700DACE>	Hm, I don't think that's right. Try again when you think you know the answer.
<Hash=0xBA23B898>	I don't think that's right. Wait, I think I've got this. W... A... T... The answer has to be Water! Think about it, it has no feet but is always running! I guess this mreans that the steps are hidden somewhere near water. The pool! That's it! Go get those steps!
<Hash=0xBB23BA2B>	Well, well... I must admit, I'm a little impressed! You just might have what it takes to become a fearleader, after all. OK ghouls, it's time to wrap up and call it day. Tomorrow, we'll start in on the cosmic fearleading steps. I'll expect you all nice and early for practice...
<Hash=0x2A492C17>	Ah! So, you're the New Ghoul I've heard so much about. Draculaura only had the nicest of things to say about you, she's sure you're true Fearleader material. Just remember though, Fearleading takes dead-ication, determination, lots of attitude and tons of practice. As far as I'm concerned, the jury's still out on you. But we'll see...
<Hash=0x1F491AC6>	To make it in the Fearleaders, you're going to need to push yourself. Show everyone what you're really made of! Trust me, you'll have lots of opportunities to do so...
<Hash=0x20491C59>	But first, I want to tell you a little story... Once upon a time, there was a talented Fearleading Team at a school very much like Monster High. They had a shot at the Monster Nationals, but their Captain felt pity for the team members during practice and didn't push them nearly as hard as she could. Do you know what happened when they finally competed at the Nationals? They came Runners Up!!!

So New Ghoul, after hearing my story, do you know what this team needs?
<Hash=0xEC42679D>	My, my... how the worm turns! And don't get me wrong Frankie, you and the New Ghoul, really are little worms. Two-faced, untrustworthy, troublesome worms, that should have been squished long ago!!!
<Hash=0xEA426477>	But I will!!! With this fearleading team I am in total control. Watch them... See their precision. Their moves are total perfection! Not only will I win the Monster Nationals, but I will rule Monster High!!!
<Hash=0xE8426151>	But I can and I already have! Right doesn't even come into it. I am Queen of this School, my power bestowed on me by the Pharaohs of old, my rule is absolute. Everything I do is right!
<Hash=0x53454859>	YEEEEESSSSSS!!! My dear, now you finally understand my absolute power over the fearleading team and it doesn't stop there. Soon Monster High will be my playground. It's students my little toys. However, like King Spookenkhamun, I am a merciful ruler and may have some use for you yet. Both of you amuse me with your silly talk of right and wrong. Walk away now, while you still can and never return to fearleading practice...

YOU HAVE BEEN WARNED! BY THE POWER OF THE SPHINX YOU ARE BANISHED! RETURN AND MY ANGER WILL KNOW NO BOUNDS!!!
<Hash=0x543525AC>	Nice to see you all here nice and early for a change ghouls. Maybe we actually have a chance of taking out the Monster Nationals after all. Anyhoo, the good news is that the newest member of our team has surprised me... imagine that... by recovering the first set of fabled cosmic fearleading steps. These mystical steps will give us an edge against the competition, namely Creepy College, who stole the trophy from us last year. So, lets get to it ghouls! I want you to be able to perform these fearleading moves in your sleep.
<Hash=0x2BAA3494>	That's good, 'coz this is gonna be a lot harder than last time! If you haven't already guessed, I'm going to send you on a hunting expedition for the second set of cosmic fearleading steps. This trio of moves is - Lunge, Tabletop and Touchdown. Once again, there's a riddle to point you in the right direction.
<Hash=0x2CAA3627>	The riddle is "What has a million stories, but cannot tell them?". The clue for this riddle is BLAIRRY. Have you figured it out?
<Hash=0x2DAA37BA>	WOW!!! You're a lot better than I expected! I actually thought I might never see you again. Don't get me wrong, I'm thrilled you found the cosmic fear-steps, it's just as Captain I'm used to being disappointed! I'm really glad you surprised me! Well, I guess you'd better get going. Oh, and by the way, before I forget, could you please tell the ghouls I'll be a little late for practice tomorrow? It's my Birthday, so just get them to start practice on the new moves without me...
